mass_kg,gamma_thermal_1mK_s^-1,gamma_planck_energy_s^-1
5.878016072274924e-21,6.71577962076246e-125,1492952936232524.5
7.017038286703836e-21,9.570675470715025e-125,2127611216061670.0
8.376776400682924e-21,1.3639195169919372e-124,3032064425376091.0
1e-20,1.943725345743582e-124,4321003109134187.0
1.1937766417144357e-20,2.7700081805547943e-124,6157873069214679.0
1.4251026703029964e-20,3.947546054869782e-124,8775601354324750.0
1.7012542798525995e-20,5.625658423939077e-124,1.2506132923562992e+16
2.0309176209047307e-20,8.017140842167994e-124,1.7822523424533552e+16
2.4244620170823406e-20,1.1425248822369002e-123,2.539892572384087e+16
2.89426612471674e-20,1.628215260563397e-123,3.619607687187251e+16
3.4551072945922324e-20,2.320373915657023e-123,5.158312580459889e+16
4.124626382901365e-20,3.306771063304243e-123,7.351125032670925e+16
4.9238826317067515e-20,4.712488272395556e-123,1.0476107913790539e+17
5.878016072274924e-20,6.71577962076246e-123,1.4929529362325248e+17
7.017038286703837e-20,9.570675470715028e-123,2.1276112160616704e+17
8.376776400682925e-20,1.3639195169919373e-122,3.032064425376092e+17
1e-19,1.9437253457435825e-122,4.3210031091341875e+17
1.1937766417144358e-19,2.7700081805547943e-122,6.15787306921468e+17
1.4251026703029964e-19,3.947546054869782e-122,8.775601354324751e+17
1.7012542798525997e-19,5.625658423939077e-122,1.2506132923562995e+18
2.0309176209047306e-19,8.017140842167993e-122,1.7822523424533553e+18
2.424462017082341e-19,1.1425248822369004e-121,2.539892572384088e+18
2.89426612471674e-19,1.628215260563396e-121,3.6196076871872497e+18
3.4551072945922323e-19,2.3203739156570235e-121,5.158312580459889e+18
4.1246263829013647e-19,3.3067710633042437e-121,7.351125032670928e+18
4.923882631706751e-19,4.712488272395554e-121,1.0476107913790536e+19
5.878016072274924e-19,6.715779620762464e-121,1.4929529362325246e+19
7.017038286703837e-19,9.570675470715029e-121,2.1276112160616698e+19
8.376776400682925e-19,1.3639195169919374e-120,3.0320644253760913e+19
1e-18,1.9437253457435822e-120,4.3210031091341885e+19
1.1937766417144455e-18,2.7700081805548396e-120,6.1578730692147814e+19
1.4251026703029963e-18,3.947546054869782e-120,8.77560135432475e+19
1.7012542798525995e-18,5.625658423939076e-120,1.2506132923562993e+20
2.0309176209047305e-18,8.01714084216799e-120,1.7822523424533545e+20
2.424462017082341e-18,1.1425248822369007e-119,2.5398925723840886e+20
2.89426612471674e-18,1.628215260563397e-119,3.619607687187251e+20
3.4551072945922325e-18,2.3203739156570236e-119,5.158312580459889e+20
4.1246263829013645e-18,3.306771063304243e-119,7.351125032670925e+20
4.923882631706752e-18,4.712488272395557e-119,1.0476107913790538e+21
5.8780160722749236e-18,6.715779620762461e-119,1.4929529362325247e+21
7.017038286703837e-18,9.570675470715029e-119,2.1276112160616704e+21
